,Power,Duration
0,5.1,7
1,4.1,9
2,3.2,4
3,2.5,8
4,2.9,5
5,5.5,5
6,3.2,9
7,1.7,8
8,2.5,5
9,4.5,8
10,2.1,4
11,1.4,8
12,2.0,4
13,5.2,5
14,4.8,9
15,2.7,7
16,2.7,7
17,2.6,8
18,2.9,6
19,5.8,4
20,1.8,2
21,2.4,8
22,2.1,5
23,1.4,6
24,1.0,7
25,1.1,3
26,2.0,4
27,1.2,8
28,4.6,6
29,2.8,6
30,1.4,8
31,1.9,5
32,4.9,6
33,3.0,3
34,3.8,4
35,6.0,9
36,2.0,9
37,1.4,6
38,1.6,7
39,1.6,9
40,5.5,7
41,2.4,7
42,5.9,6
43,1.0,6
44,4.6,6
45,3.4,8
46,2.2,8
47,3.9,6
48,4.1,7
49,4.5,5
50,3.7,1
51,2.6,2
52,3.3,2
53,3.9,2
54,4.8,10
55,1.4,2
56,4.9,8
57,4.4,8
58,2.9,5
59,5.8,7
60,3.1,2
61,1.4,8
62,2.9,2
63,1.0,6
64,1.1,7
65,3.4,5
66,3.2,8
67,1.1,3
68,2.2,8
69,3.9,4
70,3.6,2
71,2.3,4
72,5.8,4
73,1.9,3
74,1.9,4
75,2.1,3
76,2.1,1
77,3.1,7
78,4.7,3
79,2.5,4
80,3.2,1
81,1.6,8
82,2.0,5
83,6.0,6
84,1.7,3
85,3.5,2
86,2.3,4
87,1.3,9
88,4.4,7
89,3.3,8
90,3.1,6
91,2.6,3
92,4.2,2
93,1.0,8
94,4.7,5
95,1.5,1
96,4.5,6
97,2.7,9
98,1.2,3
99,5.1,7
100,5.7,6
101,4.0,2
102,3.8,2
103,4.7,3
104,5.3,7
105,4.7,7
106,3.1,1
107,5.8,7
108,2.4,7
109,3.1,6
110,5.3,9
111,3.2,4
112,3.9,4
113,2.0,10
114,5.8,6
115,5.8,7
116,5.4,6
117,5.5,3
118,2.1,4
119,4.0,4
120,4.6,5
121,3.2,2
122,2.0,5
123,4.1,6
124,2.5,2
