,Power,Duration
0,2.0,1
1,4.8,6
2,1.1,8
3,4.7,8
4,2.1,3
5,4.1,5
6,5.4,9
7,2.5,5
8,3.7,4
9,4.6,9
10,4.5,6
11,3.8,6
12,2.5,4
13,2.8,9
14,3.6,1
15,1.2,4
16,1.0,2
17,5.3,2
18,4.3,3
19,5.8,10
20,3.1,7
21,1.8,8
22,4.0,2
23,3.7,8
24,5.5,2
25,3.9,8
26,3.7,8
27,3.4,7
28,2.1,4
29,3.6,6
30,1.9,9
31,3.5,7
32,3.8,7
33,4.5,4
34,4.0,2
35,4.4,2
36,1.7,9
37,2.4,2
38,1.5,7
39,2.3,5
40,4.6,10
41,5.1,4
42,2.8,6
43,4.0,6
44,5.1,9
45,2.1,6
46,3.4,9
47,5.1,4
48,4.2,2
49,2.1,3
50,5.5,9
51,4.7,9
52,1.4,2
53,4.7,1
54,2.8,8
55,3.3,7
56,4.5,2
57,3.7,8
58,4.9,1
59,2.1,1
60,1.6,8
61,5.9,8
62,3.8,2
63,2.2,8
64,1.5,6
65,2.0,9
66,4.9,8
67,1.2,2
68,5.3,6
69,4.4,10
70,2.1,4
71,2.9,3
72,1.5,5
73,1.0,8
74,4.0,2
75,1.8,8
76,5.2,4
77,5.7,8
78,2.2,2
79,3.2,10
80,4.2,9
81,4.4,5
82,5.4,7
83,3.8,4
84,4.5,9
85,1.7,7
86,3.5,9
87,1.4,2
88,5.1,5
89,3.2,2
90,5.9,9
91,1.2,3
92,5.3,6
93,1.1,10
94,1.5,2
95,2.8,9
96,1.9,6
97,3.4,3
98,1.6,8
99,5.1,8
100,4.0,3
101,4.7,5
102,5.0,2
103,5.3,1
104,3.0,4
105,4.5,2
106,2.6,1
107,1.1,2
108,2.5,7
109,2.8,3
110,5.1,4
111,1.8,7
112,2.2,7
113,5.2,1
114,4.8,5
115,4.4,3
116,3.7,9
117,5.4,4
118,1.7,4
119,2.9,7
120,4.3,4
121,2.5,9
122,1.2,4
123,2.9,2
124,2.0,7
