,Power,Duration
0,5.0,7
1,4.8,10
2,1.5,1
3,2.1,8
4,5.9,1
5,5.3,8
6,1.3,5
7,5.8,3
8,2.5,5
9,3.5,4
10,2.3,8
11,5.6,1
12,1.7,3
13,2.4,8
14,3.7,6
15,5.6,2
16,5.9,10
17,2.6,8
18,3.1,7
19,2.2,2
20,3.1,9
21,3.6,3
22,1.9,1
23,1.8,9
24,2.5,5
25,2.3,6
26,5.2,8
27,5.9,8
28,2.6,10
29,2.2,2
30,4.8,6
31,3.9,8
32,1.9,5
33,2.8,3
34,1.8,7
35,5.5,5
36,2.1,1
37,1.4,4
38,2.3,8
39,2.7,8
40,2.8,8
41,4.4,4
42,5.1,2
43,2.6,7
44,3.5,6
45,2.8,3
46,3.9,1
47,2.6,5
48,4.9,6
49,4.1,10
50,5.2,3
51,1.9,3
52,4.7,7
53,1.1,3
54,4.2,4
55,3.5,3
56,4.0,7
57,1.2,4
58,2.2,7
59,5.7,8
60,4.0,4
61,3.1,8
62,5.1,10
63,5.7,4
64,5.8,2
65,5.5,2
66,5.0,8
67,2.3,4
68,3.0,9
69,5.5,4
70,3.8,8
71,5.8,2
72,5.1,8
73,5.9,10
74,3.1,5
75,1.6,6
76,5.7,5
77,3.3,6
78,1.4,5
79,4.6,8
80,3.7,6
81,2.6,9
82,5.2,7
83,3.4,9
84,5.2,9
85,3.8,4
86,5.8,3
87,1.9,9
88,2.1,3
89,1.9,3
90,5.2,6
91,1.0,9
92,1.3,1
93,3.0,9
94,3.4,6
95,1.6,5
96,1.3,2
97,3.5,9
98,5.3,7
99,1.1,5
100,2.4,9
101,3.0,5
102,3.3,8
103,4.7,10
104,3.7,2
105,2.5,4
106,3.2,5
107,3.9,2
108,1.2,3
109,2.8,5
110,4.3,4
111,5.3,4
112,4.8,3
113,2.4,9
114,4.2,8
115,3.7,2
116,2.4,7
117,2.4,2
118,1.5,6
119,1.1,3
120,3.7,8
121,2.8,3
122,4.1,1
123,5.3,4
124,3.4,2
