,Power,Duration
0,3.3,5
1,2.5,6
2,1.8,6
3,1.9,2
4,5.5,4
5,3.0,6
6,2.8,6
7,4.8,7
8,2.8,1
9,4.6,2
10,1.0,7
11,3.8,5
12,1.7,7
13,2.7,3
14,3.3,5
15,2.8,9
16,3.9,3
17,1.7,8
18,1.0,7
19,4.7,2
20,1.3,5
21,3.0,4
22,2.0,5
23,2.5,6
24,3.1,4
25,3.5,7
26,4.2,8
27,1.1,6
28,1.8,4
29,4.7,8
30,4.9,8
31,1.0,6
32,2.7,7
33,1.8,6
34,4.2,2
35,2.0,4
36,3.4,8
37,4.7,2
38,4.8,6
39,2.9,8
40,5.0,5
41,5.9,1
42,4.9,10
43,4.5,3
44,2.6,5
45,4.5,9
46,1.8,6
47,5.6,6
48,4.0,5
49,5.7,6
50,4.9,5
51,4.1,9
52,3.0,4
53,5.6,3
54,3.6,2
55,2.9,8
56,2.8,8
57,2.5,2
58,5.7,10
59,5.8,6
60,4.3,5
61,3.8,6
62,3.2,8
63,5.0,7
64,3.9,7
65,5.8,2
66,5.2,4
67,3.5,4
68,3.3,6
69,4.4,3
70,2.0,2
71,1.3,4
72,1.7,3
73,1.7,8
74,4.5,9
75,4.0,6
76,2.3,7
77,3.4,6
78,5.0,9
79,1.2,10
80,5.7,8
81,5.6,8
82,2.5,5
83,3.9,9
84,4.3,8
85,1.8,3
86,5.2,1
87,4.2,5
88,6.0,9
89,3.0,4
90,2.2,5
91,3.9,3
92,5.7,10
93,1.8,2
94,3.2,6
95,4.0,6
96,3.5,9
97,3.1,10
98,5.7,7
99,1.3,6
100,3.5,9
101,2.5,5
102,2.4,3
103,4.0,7
104,5.2,9
105,2.2,9
106,4.3,9
107,1.3,6
108,5.6,7
109,1.6,5
110,5.8,10
111,5.4,10
112,5.4,3
113,1.2,8
114,1.6,1
115,4.0,9
116,1.3,10
117,4.3,4
118,4.5,7
119,5.9,3
120,4.9,5
121,4.0,4
122,1.6,2
123,2.7,2
124,4.9,6
