,Power,Duration
0,3.0,5
1,5.0,5
2,2.9,3
3,1.5,5
4,2.4,6
5,1.3,6
6,1.7,9
7,4.5,9
8,1.1,8
9,4.4,1
10,5.9,8
11,5.4,4
12,5.8,4
13,4.0,9
14,4.6,7
15,5.1,6
16,3.0,8
17,1.6,10
18,3.7,8
19,4.3,9
20,3.9,8
21,4.4,9
22,3.1,1
23,2.5,10
24,4.8,7
25,3.2,3
26,5.0,3
27,1.2,3
28,1.9,7
29,4.6,2
30,3.6,1
31,4.1,6
32,3.6,5
33,1.3,8
34,3.2,7
35,2.9,6
36,4.1,7
37,4.9,5
38,1.2,9
39,3.4,3
40,4.2,4
41,1.1,9
42,4.3,4
43,5.5,8
44,1.6,3
45,2.8,9
46,3.4,6
47,5.6,9
48,2.8,3
49,2.1,2
50,1.2,5
51,1.8,9
52,4.8,2
53,1.6,8
54,1.3,3
55,4.9,10
56,1.5,6
57,5.4,1
58,5.1,1
59,4.3,2
60,2.4,8
61,2.4,10
62,2.1,4
63,1.7,4
64,4.1,1
65,3.1,3
66,5.6,3
67,3.3,1
68,4.7,5
69,1.6,6
70,3.4,2
71,5.1,3
72,2.1,4
73,3.0,5
74,4.4,7
75,4.8,7
76,1.5,5
77,5.1,2
78,2.9,6
79,3.6,8
80,5.8,3
81,5.6,8
82,2.6,2
83,2.2,4
84,4.0,6
85,2.0,8
86,3.5,9
87,3.7,1
88,1.8,8
89,5.3,2
90,2.7,9
91,4.6,10
92,3.2,4
93,3.7,3
94,3.8,9
95,5.9,7
96,2.2,5
97,1.1,9
98,4.0,9
99,5.2,8
100,3.4,7
101,3.1,3
102,3.3,8
103,2.2,10
104,1.1,5
105,3.0,1
106,4.2,6
107,3.4,7
108,4.8,3
109,5.0,9
110,4.3,7
111,4.6,10
112,1.2,10
113,2.8,10
114,4.6,8
115,2.3,3
116,1.4,6
117,2.3,1
118,2.9,1
119,5.8,7
120,5.0,9
121,4.2,7
122,5.6,5
123,5.0,2
124,1.9,5
