,Power,Duration
0,3.3,6
1,2.5,2
2,1.9,8
3,2.6,3
4,4.4,5
5,3.8,3
6,3.2,5
7,1.8,2
8,1.3,9
9,4.6,3
10,5.1,10
11,5.4,1
12,5.7,8
13,3.9,10
14,2.4,7
15,2.9,4
16,3.9,6
17,3.7,7
18,1.4,9
19,4.3,10
20,2.4,8
21,3.8,6
22,3.8,10
23,3.5,2
24,3.8,7
25,5.4,9
26,1.5,6
27,5.6,9
28,4.1,3
29,4.9,5
30,1.4,4
31,2.7,8
32,2.5,1
33,2.7,8
34,3.6,4
35,2.6,7
36,5.0,10
37,3.3,8
38,2.0,8
39,2.9,5
40,2.7,8
41,3.5,10
42,4.0,4
43,1.7,4
44,5.0,10
45,4.5,7
46,1.5,4
47,4.3,3
48,3.5,1
49,5.2,3
50,2.4,8
51,3.6,5
52,3.4,7
53,5.0,6
54,3.6,6
55,2.7,2
56,1.7,5
57,1.5,3
58,4.0,2
59,1.7,5
60,4.4,4
61,4.5,9
62,5.9,9
63,5.9,7
64,1.5,2
65,3.5,9
66,5.7,9
67,1.9,6
68,4.4,3
69,2.8,5
70,2.6,9
71,4.3,4
72,4.1,3
73,3.7,4
74,1.1,7
75,3.7,3
76,4.2,4
77,3.0,5
78,5.5,4
79,1.5,5
80,2.2,8
81,3.1,6
82,3.7,8
83,3.4,10
84,4.7,9
85,3.8,2
86,3.6,7
87,3.7,9
88,2.4,3
89,1.0,7
90,5.5,6
91,4.7,8
92,2.7,7
93,4.1,6
94,5.8,1
95,4.0,6
96,1.4,2
97,2.2,10
98,5.3,6
99,5.7,6
100,3.2,5
101,5.3,9
102,3.2,3
103,2.1,6
104,1.2,1
105,3.8,5
106,4.9,2
107,5.7,3
108,2.8,5
109,5.0,7
110,3.5,3
111,4.0,3
112,5.2,7
113,2.5,3
114,5.8,4
115,1.9,6
116,3.4,7
117,4.6,5
118,3.3,5
119,4.9,6
120,1.6,6
121,1.3,4
122,3.5,2
123,1.3,3
124,1.3,2
