,Power,Duration
0,4.0,10
1,4.5,8
2,4.4,1
3,4.1,7
4,5.0,8
5,1.7,6
6,5.0,3
7,3.7,6
8,3.2,9
9,2.8,5
10,4.0,4
11,1.9,3
12,4.0,4
13,6.0,7
14,3.7,4
15,3.8,3
16,3.7,2
17,4.3,7
18,1.7,10
19,2.0,6
20,5.2,7
21,3.6,1
22,4.4,4
23,5.7,6
24,1.5,7
25,5.1,6
26,4.9,2
27,3.4,3
28,1.5,8
29,1.1,4
30,5.3,6
31,5.9,7
32,2.7,9
33,4.6,3
34,3.0,8
35,2.9,6
36,3.7,7
37,2.0,5
38,5.0,2
39,3.7,3
40,5.6,6
41,3.1,2
42,5.4,2
43,4.9,7
44,4.2,5
45,1.4,8
46,1.2,7
47,2.2,7
48,3.3,2
49,1.7,2
50,5.6,4
51,3.9,2
52,1.5,2
53,2.3,7
54,3.7,6
55,3.3,5
56,4.4,4
57,5.5,7
58,5.8,8
59,1.4,3
60,1.3,9
61,3.8,6
62,4.8,6
63,3.4,5
64,5.8,9
65,4.6,8
66,5.3,2
67,5.6,8
68,5.4,6
69,5.0,8
70,4.5,6
71,2.9,9
72,2.5,3
73,3.6,9
74,4.9,4
75,5.6,8
76,2.7,6
77,5.0,4
78,3.9,8
79,5.0,7
80,4.2,8
81,5.0,2
82,4.8,10
83,1.5,9
84,4.2,1
85,4.7,4
86,4.0,10
87,5.0,4
88,2.4,9
89,1.8,5
90,1.3,2
91,1.5,3
92,3.3,9
93,4.5,4
94,5.8,5
95,2.1,5
96,1.4,4
97,2.2,9
98,1.0,2
99,4.4,8
100,5.4,4
101,4.8,2
102,3.9,5
103,2.5,4
104,3.2,6
105,5.0,2
106,4.5,6
107,3.7,3
108,4.0,8
109,4.1,8
110,3.1,2
111,2.1,4
112,3.6,4
113,5.7,5
114,1.6,2
115,3.2,8
116,5.0,7
117,4.7,4
118,4.8,4
119,4.7,9
120,3.5,5
121,2.6,8
122,1.7,5
123,3.6,8
124,5.0,2
