,Power,Duration
0,3.0,5
1,4.1,2
2,5.4,8
3,4.8,2
4,5.1,7
5,2.9,10
6,2.5,4
7,2.8,1
8,2.8,3
9,5.0,3
10,1.4,2
11,3.5,6
12,3.0,8
13,4.9,7
14,4.0,4
15,4.4,8
16,2.9,8
17,4.3,5
18,3.5,2
19,5.7,10
20,5.8,5
21,1.1,1
22,3.9,2
23,5.7,9
24,5.2,2
25,4.7,4
26,2.3,8
27,3.0,5
28,5.7,4
29,3.9,1
30,3.9,8
31,2.0,9
32,5.0,9
33,2.0,9
34,4.4,8
35,5.6,9
36,1.3,8
37,5.1,9
38,1.1,6
39,3.9,6
40,5.2,2
41,5.2,10
42,5.4,4
43,4.5,2
44,1.7,4
45,4.6,10
46,1.1,8
47,2.6,5
48,4.9,5
49,2.8,4
50,5.0,5
51,4.2,4
52,1.5,7
53,1.1,3
54,2.2,7
55,3.3,9
56,1.3,1
57,5.0,2
58,5.8,4
59,3.9,3
60,1.1,9
61,3.8,3
62,2.8,4
63,3.2,3
64,1.3,6
65,2.8,9
66,2.0,3
67,2.8,9
68,1.9,6
69,1.3,8
70,5.7,6
71,4.5,6
72,3.8,10
73,2.0,1
74,2.0,6
75,5.4,7
76,4.9,6
77,1.2,4
78,5.5,2
79,4.7,9
80,1.5,8
81,3.0,8
82,3.1,2
83,5.5,6
84,5.3,4
85,5.7,6
86,1.5,2
87,2.7,2
88,2.8,3
89,2.0,6
90,2.2,8
91,3.4,5
92,3.1,6
93,1.7,10
94,5.5,5
95,1.9,6
96,5.8,1
97,5.4,2
98,1.1,6
99,1.4,6
100,2.1,3
101,2.7,8
102,5.8,4
103,1.6,9
104,5.6,9
105,5.6,1
106,3.0,9
107,2.5,9
108,5.6,5
109,3.1,2
110,3.4,7
111,2.3,4
112,2.6,9
113,4.9,8
114,3.3,5
115,5.6,4
116,4.8,5
117,5.4,8
118,2.5,5
119,1.8,2
120,4.8,3
121,4.7,2
122,5.8,8
123,3.3,7
124,2.6,8
