,Power,Duration
0,1.1,3
1,1.7,7
2,1.5,6
3,2.6,4
4,3.6,8
5,5.0,4
6,1.4,7
7,1.4,8
8,6.0,5
9,4.4,6
10,5.0,3
11,5.4,2
12,1.5,5
13,1.3,8
14,5.7,5
15,4.8,9
16,3.0,8
17,3.9,3
18,1.2,1
19,2.3,2
20,3.0,9
21,1.9,3
22,3.8,1
23,1.7,6
24,2.1,10
25,4.6,10
26,1.2,9
27,5.4,4
28,5.2,8
29,5.0,2
30,2.6,8
31,2.3,4
32,1.2,9
33,3.1,5
34,4.4,3
35,5.6,5
36,3.1,9
37,2.6,9
38,4.4,8
39,2.9,6
40,2.5,3
41,3.4,10
42,5.0,5
43,4.9,2
44,3.2,7
45,1.3,3
46,5.8,6
47,3.6,3
48,3.2,3
49,3.5,9
50,5.8,5
51,3.0,7
52,5.0,4
53,1.1,9
54,1.4,5
55,4.4,1
56,4.4,2
57,3.5,9
58,3.3,4
59,5.5,9
60,4.3,5
61,5.4,3
62,2.4,7
63,4.6,6
64,2.8,2
65,2.6,3
66,3.8,7
67,5.4,8
68,5.1,9
69,2.4,8
70,3.5,3
71,2.8,7
72,2.6,4
73,3.9,9
74,3.1,9
75,1.1,7
76,1.0,7
77,4.5,9
78,5.7,7
79,2.0,9
80,3.5,5
81,2.5,5
82,4.1,3
83,4.0,4
84,4.4,8
85,3.0,3
86,5.7,5
87,2.6,4
88,5.6,5
89,4.0,4
90,4.3,5
91,3.0,8
92,2.0,6
93,5.1,4
94,1.7,5
95,1.1,8
96,3.7,6
97,2.1,4
98,4.8,4
99,5.5,5
100,3.5,5
101,5.0,9
102,5.5,5
103,5.3,7
104,5.3,3
105,5.2,3
106,1.7,8
107,5.8,2
108,5.9,8
109,1.7,1
110,3.3,2
111,3.3,6
112,2.3,9
113,1.2,4
114,1.2,1
115,5.3,2
116,4.1,2
117,3.2,7
118,3.6,5
119,3.4,4
120,1.3,6
121,4.1,5
122,3.3,4
123,2.7,9
124,4.0,10
