,Power,Duration
0,3.4,2
1,3.1,1
2,5.9,10
3,4.4,6
4,4.6,6
5,5.9,3
6,1.4,5
7,1.1,5
8,4.5,6
9,3.8,10
10,2.0,9
11,1.3,3
12,4.8,4
13,4.0,7
14,2.3,8
15,3.1,2
16,3.6,2
17,6.0,10
18,3.7,1
19,2.5,10
20,1.8,2
21,2.3,1
22,4.1,5
23,3.2,10
24,4.0,8
25,1.0,3
26,3.5,9
27,1.5,3
28,5.6,2
29,5.2,2
30,4.5,8
31,2.2,5
32,5.5,6
33,2.9,3
34,2.1,2
35,2.8,4
36,2.5,7
37,5.0,1
38,4.0,8
39,5.1,7
40,4.0,6
41,1.4,3
42,4.5,2
43,4.6,2
44,4.4,2
45,2.2,3
46,1.9,7
47,4.5,7
48,3.2,8
49,3.6,3
50,5.7,9
51,2.4,6
52,4.7,5
53,1.2,6
54,3.6,7
55,5.6,10
56,4.6,2
57,5.5,8
58,4.8,7
59,5.1,7
60,3.6,2
61,3.5,9
62,2.4,7
63,2.8,1
64,4.4,8
65,5.0,4
66,2.4,9
67,5.8,4
68,4.2,8
69,3.0,9
70,4.5,1
71,3.6,10
72,2.7,7
73,3.1,7
74,5.7,8
75,1.5,10
76,2.7,3
77,5.7,5
78,4.0,8
79,3.9,5
80,5.2,2
81,1.1,6
82,2.3,5
83,5.5,7
84,5.0,7
85,4.9,9
86,2.7,7
87,2.5,9
88,2.2,6
89,5.0,8
90,2.1,2
91,2.7,3
92,1.1,9
93,4.4,3
94,4.0,8
95,1.8,9
96,4.1,6
97,1.0,9
98,2.4,7
99,4.0,10
100,1.7,6
101,5.7,9
102,4.0,9
103,5.2,8
104,1.0,3
105,1.2,4
106,2.0,5
107,1.7,1
108,4.7,7
109,5.9,2
110,2.1,4
111,4.2,1
112,4.6,7
113,1.1,3
114,2.6,2
115,3.3,9
116,5.4,2
117,1.2,7
118,1.2,7
119,5.0,4
120,2.4,6
121,3.6,1
122,1.9,8
123,5.7,8
124,5.6,5
