,Power,Duration
0,1.1,6
1,3.6,8
2,3.2,3
3,1.3,2
4,3.3,6
5,2.5,9
6,3.1,4
7,2.6,6
8,5.4,5
9,3.0,2
10,4.8,6
11,4.4,8
12,4.1,5
13,4.4,10
14,2.1,5
15,4.7,7
16,1.2,6
17,1.9,3
18,3.1,5
19,3.9,7
20,4.9,5
21,4.8,1
22,3.8,4
23,1.0,7
24,3.8,1
25,2.6,6
26,3.6,8
27,3.4,2
28,2.7,5
29,1.8,1
30,2.5,10
31,4.3,10
32,3.2,6
33,2.6,2
34,5.4,4
35,5.2,9
36,5.7,5
37,3.9,8
38,2.9,2
39,2.5,3
40,2.0,7
41,4.8,3
42,4.5,10
43,3.7,4
44,2.5,8
45,2.5,6
46,2.5,5
47,2.1,2
48,4.7,6
49,1.7,9
50,3.6,3
51,4.7,10
52,6.0,5
53,4.2,1
54,5.2,8
55,1.2,9
56,2.3,2
57,4.4,5
58,3.6,3
59,3.8,2
60,2.8,9
61,1.8,2
62,2.2,6
63,2.5,6
64,1.8,4
65,4.5,3
66,4.7,5
67,1.7,2
68,3.6,4
69,4.0,4
70,4.4,4
71,4.7,7
72,3.9,7
73,3.3,4
74,1.2,3
75,2.9,3
76,1.4,3
77,3.5,6
78,3.8,2
79,3.5,3
80,2.4,5
81,3.0,7
82,5.1,8
83,5.6,6
84,3.2,4
85,4.3,8
86,3.0,3
87,5.5,6
88,1.8,6
89,2.5,7
90,4.4,6
91,3.6,9
92,4.4,5
93,5.7,1
94,1.2,1
95,1.2,1
96,4.0,3
97,3.1,1
98,3.3,1
99,1.4,6
100,4.2,7
101,3.6,6
102,5.9,1
103,5.2,3
104,1.1,5
105,1.1,3
106,5.7,5
107,1.7,2
108,1.5,3
109,6.0,9
110,2.7,2
111,3.1,10
112,3.6,7
113,3.9,3
114,4.9,8
115,4.0,2
116,5.8,8
117,2.4,5
118,3.1,7
119,4.3,2
120,5.2,7
121,3.8,2
122,2.7,8
123,5.6,9
124,5.6,3
