,Power,Duration
0,1.0,8
1,4.6,9
2,1.9,8
3,3.0,3
4,4.1,9
5,1.8,3
6,2.1,3
7,2.0,3
8,5.2,10
9,1.6,8
10,3.4,3
11,4.0,2
12,5.4,3
13,4.0,10
14,2.3,2
15,3.2,7
16,5.5,1
17,1.4,9
18,3.4,6
19,2.2,3
20,1.4,8
21,4.1,1
22,3.5,9
23,1.2,3
24,5.5,7
25,4.9,4
26,1.2,7
27,3.0,4
28,1.5,6
29,3.0,5
30,4.0,3
31,3.8,10
32,2.7,6
33,2.1,5
34,3.2,1
35,5.7,4
36,5.2,2
37,3.9,2
38,1.3,8
39,3.5,5
40,2.3,9
41,2.4,7
42,4.2,9
43,1.1,9
44,2.3,6
45,5.2,7
46,2.0,6
47,4.4,3
48,1.2,8
49,3.8,9
50,5.8,9
51,2.7,1
52,1.8,2
53,4.9,4
54,4.6,9
55,3.6,3
56,6.0,3
57,1.4,4
58,4.8,6
59,1.7,8
60,2.9,1
61,4.8,7
62,2.3,1
63,5.3,8
64,4.1,1
65,4.5,3
66,5.0,8
67,2.4,9
68,1.8,2
69,1.1,2
70,4.7,6
71,5.4,4
72,1.9,2
73,2.6,6
74,4.7,8
75,3.5,8
76,4.3,6
77,5.7,2
78,4.9,3
79,1.2,4
80,3.9,3
81,3.3,6
82,4.7,8
83,3.6,2
84,2.2,3
85,3.3,1
86,4.5,9
87,4.6,7
88,1.3,3
89,2.3,8
90,1.3,1
91,2.7,3
92,2.8,7
93,3.9,7
94,3.3,2
95,2.6,5
96,5.2,1
97,2.8,7
98,3.0,6
99,5.2,6
100,4.7,4
101,5.4,1
102,5.2,1
103,1.3,3
104,1.3,9
105,5.8,7
106,3.6,8
107,3.7,7
108,1.4,6
109,4.9,2
110,3.8,5
111,1.6,3
112,5.9,6
113,2.3,3
114,2.7,9
115,2.0,3
116,1.5,1
117,2.6,6
118,5.8,8
119,1.9,5
120,5.2,6
121,1.3,7
122,5.3,6
123,2.7,7
124,6.0,4
