,Power,Duration
0,2.8,2
1,1.3,4
2,4.1,8
3,3.2,7
4,3.4,3
5,2.8,6
6,2.1,7
7,1.8,7
8,2.3,3
9,4.3,5
10,5.8,8
11,5.8,2
12,4.8,5
13,4.0,1
14,3.4,7
15,4.3,2
16,4.6,6
17,4.8,3
18,2.6,3
19,5.3,4
20,1.5,8
21,4.6,10
22,2.0,5
23,4.7,8
24,4.7,9
25,4.4,6
26,3.2,9
27,2.4,8
28,4.4,8
29,2.5,5
30,1.4,7
31,5.0,9
32,1.7,3
33,1.8,4
34,2.2,9
35,4.1,6
36,3.8,5
37,5.9,4
38,1.9,8
39,2.1,9
40,1.1,9
41,4.4,6
42,3.7,1
43,4.7,9
44,4.8,4
45,4.6,3
46,2.3,9
47,3.0,5
48,4.1,6
49,2.5,7
50,5.5,5
51,5.9,5
52,4.7,3
53,4.8,9
54,2.7,7
55,4.1,1
56,2.0,3
57,1.2,7
58,4.7,3
59,4.7,4
60,4.8,3
61,5.5,5
62,5.7,6
63,1.4,4
64,1.6,6
65,4.5,2
66,5.8,4
67,4.2,1
68,2.5,6
69,3.2,8
70,2.6,5
71,3.6,9
72,3.6,2
73,1.6,4
74,2.6,6
75,5.7,4
76,2.4,9
77,2.8,6
78,2.5,3
79,5.0,3
80,3.0,8
81,4.0,8
82,4.7,4
83,4.5,2
84,5.3,2
85,2.5,8
86,5.7,10
87,3.8,1
88,4.9,3
89,1.5,8
90,2.9,2
91,2.2,5
92,3.2,5
93,5.4,3
94,3.0,6
95,4.8,7
96,4.2,3
97,1.8,8
98,3.8,2
99,5.2,2
100,3.3,2
101,5.7,9
102,5.1,9
103,3.9,7
104,4.7,4
105,2.7,1
106,1.6,7
107,2.0,8
108,3.2,2
109,5.0,5
110,3.5,5
111,3.7,4
112,2.0,5
113,4.1,8
114,4.8,6
115,5.0,2
116,1.3,5
117,4.1,7
118,4.9,7
119,1.1,4
120,5.5,2
121,5.3,1
122,4.8,8
123,2.8,4
124,1.3,5
