,Power,Duration
0,1.2,2
1,2.1,2
2,1.5,5
3,4.8,9
4,4.3,7
5,5.4,8
6,4.5,7
7,5.7,4
8,5.6,8
9,3.9,8
10,4.3,3
11,4.0,1
12,4.2,6
13,3.5,6
14,1.3,5
15,3.9,7
16,5.1,3
17,3.0,4
18,4.0,5
19,2.5,7
20,1.9,6
21,1.0,8
22,1.4,9
23,2.8,3
24,2.8,6
25,5.0,8
26,4.3,3
27,1.5,7
28,3.9,9
29,3.9,7
30,5.7,5
31,3.2,8
32,4.7,9
33,6.0,7
34,2.4,5
35,4.5,2
36,4.7,5
37,4.8,4
38,5.8,4
39,2.0,3
40,5.9,1
41,3.5,7
42,5.6,5
43,5.2,4
44,2.8,5
45,3.0,2
46,4.0,3
47,5.8,2
48,2.8,6
49,3.2,3
50,2.3,2
51,4.6,8
52,4.8,9
53,1.3,8
54,1.4,8
55,2.7,6
56,2.6,2
57,4.2,3
58,3.5,9
59,2.2,4
60,3.8,5
61,2.6,3
62,3.4,8
63,4.5,10
64,2.2,5
65,1.6,7
66,3.9,3
67,2.0,7
68,5.6,6
69,3.1,8
70,5.8,7
71,4.1,1
72,4.9,8
73,1.0,10
74,5.8,6
75,3.4,3
76,5.4,5
77,3.0,7
78,3.5,8
79,5.0,6
80,5.8,3
81,3.1,9
82,1.2,4
83,4.6,4
84,4.6,4
85,2.2,2
86,3.9,2
87,2.6,4
88,3.5,4
89,4.6,6
90,4.8,4
91,1.5,10
92,1.3,2
93,3.1,1
94,2.9,6
95,2.9,1
96,1.0,9
97,1.4,3
98,1.3,5
99,2.2,8
100,4.2,1
101,3.0,9
102,5.4,1
103,4.9,6
104,5.4,3
105,2.6,2
106,2.4,6
107,5.4,6
108,3.8,6
109,4.6,7
110,1.8,3
111,5.7,5
112,4.2,8
113,1.6,5
114,5.5,2
115,5.7,4
116,4.7,10
117,1.1,10
118,5.1,3
119,1.9,6
120,3.9,5
121,3.9,2
122,1.5,4
123,4.6,4
124,3.2,8
