,Power,Duration
0,5.1,9
1,1.2,10
2,3.6,4
3,4.7,7
4,3.4,4
5,2.7,4
6,4.7,6
7,4.6,2
8,4.7,5
9,5.0,7
10,1.4,5
11,2.6,3
12,2.0,8
13,4.7,6
14,4.7,4
15,5.9,2
16,5.5,2
17,2.6,2
18,2.5,9
19,5.8,6
20,1.7,8
21,3.8,3
22,5.6,8
23,3.9,3
24,3.2,1
25,2.5,2
26,1.3,8
27,2.7,1
28,6.0,7
29,1.3,2
30,2.5,1
31,1.2,6
32,3.9,9
33,5.0,2
34,1.8,5
35,2.4,1
36,5.0,1
37,4.3,10
38,1.4,1
39,4.2,6
40,1.7,8
41,2.5,5
42,4.1,1
43,5.1,5
44,5.3,7
45,3.3,4
46,4.3,1
47,4.2,3
48,4.7,9
49,4.4,7
50,5.6,8
51,2.6,9
52,1.7,9
53,3.4,7
54,5.9,9
55,3.2,7
56,2.6,1
57,4.8,4
58,3.5,4
59,1.4,3
60,3.1,4
61,5.0,8
62,1.8,10
63,4.2,10
64,3.4,4
65,5.4,5
66,2.0,2
67,3.2,4
68,4.6,9
69,2.1,9
70,1.1,4
71,2.0,8
72,2.8,10
73,4.3,9
74,1.4,2
75,3.0,10
76,4.6,5
77,3.6,5
78,1.2,10
79,1.8,10
80,3.6,8
81,3.3,7
82,3.5,3
83,4.8,5
84,2.9,7
85,4.3,3
86,3.8,3
87,5.9,8
88,4.5,8
89,5.0,4
90,3.9,9
91,5.6,4
92,5.1,2
93,4.2,9
94,5.9,8
95,4.6,4
96,1.6,8
97,3.4,7
98,3.7,8
99,2.4,5
100,3.8,4
101,2.5,2
102,1.9,4
103,2.3,7
104,5.8,7
105,3.9,3
106,4.3,3
107,3.3,3
108,3.0,6
109,3.2,1
110,2.3,9
111,4.2,4
112,3.4,1
113,2.0,9
114,1.9,2
115,5.6,5
116,4.6,4
117,4.7,8
118,1.1,1
119,4.4,4
120,4.0,6
121,3.4,5
122,1.1,10
123,1.7,6
124,3.8,8
